led_num,reflection_score,tri_hit_score,coverage_error=0
0,1774.3628050302889,450,1
1,1753.7206957244703,466,1
2,1694.1159935845026,466,1
3,1753.8882457136342,466,1
4,1637.8654826662475,479,1
5,1836.2823312990547,466,1
6,1836.0240806608617,466,1
7,1638.7431274056667,479,1
8,1551.1136148288585,467,1
9,1674.9400586694835,467,1
10,1794.4622706689393,479,1
11,1878.3531763765088,479,1
12,1793.8823756100301,479,1
13,1675.7292402912292,467,1
14,1467.6608012024171,474,0
15,1466.3090070973585,474,0
16,1541.5353755436217,474,0
17,1677.9667434404041,474,0
18,1839.3990961928857,467,1
19,1834.0708601829526,474,1
20,1838.2412363355534,467,1
21,1767.1701271195459,474,1
22,1677.581623466474,474,0
23,1543.8082770289852,474,0
24,1384.2359454444234,469,0
25,1403.2442995144436,469,0
26,1301.9216763273012,471,0
27,1381.6038112607237,469,0
28,1580.0257896474518,469,0
29,1540.8337830181629,471,0
30,1769.3341167777262,474,0
31,1798.9111896774723,469,1
32,1751.6307770660896,471,0
33,1833.2202667854006,474,1
34,1796.7277228140906,469,1
35,1717.905016018475,471,0
36,1633.8319961997768,469,0
37,1581.6972015367778,469,0
38,1463.7980646901792,471,0
39,1348.8742056824251,471,0
40,1302.8611774469803,471,0
41,1217.436079237074,469,0
42,1259.8373461286803,471,0
43,1460.7769495044618,471,0
44,1415.7385651557274,469,0
45,1635.2763495284589,469,0
46,1721.0612805540936,471,0
47,1661.8076200451949,469,0
48,1753.4629651324542,469,0
49,1749.7599108641255,471,0
50,1659.175485861502,469,0
51,1603.9713237133913,471,0
52,1540.8337830181645,471,0
53,1417.1829184844314,469,0
54,1334.3798079020542,474,0
55,1261.7082123306441,471,0
56,1225.079147964211,474,0
57,1224.2285545666548,474,0
58,1345.7179411467862,471,0
59,1332.2158182438611,474,0
60,1511.4842392180396,471,0
61,1606.9924388990853,471,0
62,1558.1876232544348,474,0
63,1673.7482751257378,471,0
64,1672.8087740060546,471,1
65,1596.7481184249636,474,1
66,1555.9147217690779,474,1
67,1511.4842392180553,471,0
68,1421.3043288013707,474,0
69,1349.6402132544767,479,1
70,1270.2118783598742,469,0
71,1258.5947376099796,467,1
72,1245.4625664864893,479,1
73,1268.0284114964784,469,0
74,1257.4368777526411,467,1
75,1420.919208827421,474,0
76,1502.9540720499604,469,0
77,1436.1400586908792,467,1
78,1598.0999125300102,474,1
79,1613.3560239375174,469,1
80,1527.2606516956864,467,1
81,1495.1915581558362,479,1
82,1501.2826601606566,469,0
83,1435.3508770691474,467,1
84,1360.9467445704443,466,1
85,1269.9522398848394,466,1
86,1349.0603181955562,479,1
87,1496.0692028952556,479,1
88,1410.0767618230034,466,1
89,1317.567050418543,450,1
90,1269.6939892466451,466,1
91,1361.1142945596114,466,1
