led_num,reflection_score,tri_hit_score,coverage_error=0
0,140452.2582900571,35670,1
1,139452.86083951368,37008,1
2,134103.62316650237,36997,1
3,139486.37008240432,37024,1
4,130125.65489602611,37277,1
5,147204.94131644568,37096,1
6,147195.61161684967,37069,1
7,130086.66485280338,37267,1
8,123891.11695796195,37315,1
9,134562.66665009377,37147,1
10,143148.25485681114,37233,1
11,150469.26880542902,37384,1
12,143197.68563110838,37156,1
13,134831.26698270399,37245,1
14,117948.77086805616,36450,0
15,117942.75160160022,36411,0
16,125037.89323347296,36729,0
17,134564.44907509422,36588,0
18,148260.63993686784,37130,1
19,147319.63442942494,36644,1
20,148590.18399016536,37187,1
21,142735.12891569908,36774,0
22,134812.07994424738,36544,0
23,124989.63791639167,36664,0
24,114551.6794876905,36500,0
25,113758.79801247743,36493,0
26,109183.9803676734,36851,0
27,114491.75985502667,36478,0
28,128171.16577649239,36649,0
29,125325.09020071388,36499,0
30,142183.85462861243,36753,0
31,144502.31016866371,36410,0
32,141303.38376351513,36450,0
33,147368.42359782555,36619,1
34,144959.83814255765,36385,0
35,140032.85728721495,36786,0
36,134416.63856851423,36879,0
37,128541.69091343111,36686,0
38,122032.53002925326,36764,0
39,113966.92054916639,37548,0
40,109167.80080426176,36787,0
41,104827.68251615576,37647,0
42,107128.24786675948,37092,0
43,121640.82675572346,36757,0
44,118302.26019717705,37497,0
45,133689.89550648263,36813,0
46,139385.93667455495,36853,0
47,134513.85596622858,37131,0
48,143088.18576518932,36694,1
49,141802.76689044081,36486,0
50,135229.05628025145,37159,0
51,132488.2787562765,37634,0
52,125710.11649071107,36459,0
53,118944.10403557896,37483,0
54,111030.03749899361,36347,0
55,107301.15340541406,37104,0
56,102918.02373175359,36680,0
57,102842.22062570718,36705,1
58,113709.68165348543,37537,0
59,110591.39784998972,36370,0
60,123739.90847301099,37124,0
61,131690.48696336214,37637,0
62,125655.59060198952,36617,1
63,136714.4133819867,37519,0
64,136943.60586747073,37518,1
65,128674.41386080901,36510,1
66,126327.8140015854,36597,1
67,124345.7192858098,37097,0
68,116429.07783405905,36456,0
69,109862.97232905688,36547,1
70,107248.22738260403,36618,0
71,105102.80428592225,36459,1
72,101667.34082242312,36533,1
73,107032.29481083418,36633,0
74,104775.46615442255,36450,1
75,115799.05470361731,36443,0
76,123099.46022613616,36916,0
77,116316.85325165368,36325,1
78,128333.10020560768,36520,1
79,130955.681959177,36631,1
80,122703.78714813225,36044,1
81,120005.27274325609,36549,1
82,123731.03623237748,36901,0
83,116913.84409751542,36355,1
84,110680.55302797082,37332,1
85,104595.70944473696,37503,1
86,109508.23577315276,36569,1
87,119676.36110121505,36557,1
88,114303.13983455063,37412,1
89,106749.79408385417,38112,1
90,104465.75596966296,37531,1
91,110490.51683454087,37381,1
