led_num,reflection_score,tri_hit_score,coverage_error=0
0,104676.29275897567,30438,1
1,104953.27972241701,30829,1
2,100368.02068512636,30831,1
3,104680.9395964994,30763,1
4,102059.36503542347,31506,1
5,111335.75212231031,30747,1
6,111252.1514096544,30733,1
7,101997.6317617521,31534,1
8,99614.708612248171,31949,1
9,109524.0456331514,31944,1
10,114397.68921323605,31591,1
11,120960.11104610073,31631,1
12,114296.57789620677,31523,1
13,109389.38708663742,31900,1
14,103486.88775970052,33322,0
15,103608.09241063097,33277,0
16,109324.97819553316,33374,0
17,119733.17959436704,33321,0
18,122192.3985011996,31874,1
19,131952.39381921611,33386,1
20,122010.17231551785,31777,1
21,126827.11299278222,33453,1
22,120101.956474463,33246,0
23,109563.07412246551,33345,0
24,112151.08687395843,35006,0
25,102235.17105552857,33804,0
26,106507.84809949259,35181,0
27,111648.92101395382,35045,0
28,116069.50606612973,33754,0
29,124282.81621950833,35079,0
30,126674.14097887703,33396,1
31,132628.43486531795,33738,1
32,140651.00641388068,35097,0
33,132051.44050820745,33340,1
34,132615.49447352011,33784,1
35,137943.1774823631,35186,0
36,131563.7545512199,35115,0
37,116184.28614183805,33759,0
38,119061.66878487059,35232,0
39,120406.69416920921,36911,0
40,106445.87086065442,35176,0
41,110883.73744192165,37083,0
42,113868.80864599334,36914,0
43,118751.65007825031,35220,0
44,126273.73955310899,37037,0
45,131153.99294654489,35116,0
46,137949.32339494964,35188,0
47,144450.06449179098,37003,0
48,140968.9296964097,35147,1
49,140793.0254779355,35093,0
50,144480.31911427106,37026,0
51,139946.9763760184,36958,0
52,124681.19292463656,35070,0
53,126664.48708673674,37004,0
54,124200.66619390513,38736,0
55,114071.87212949562,36921,0
56,114478.46435727231,38594,0
57,114575.92425392357,38737,0
58,120041.67412797862,36923,0
59,123862.12403770754,38653,0
60,132584.60148021084,36923,0
61,139762.10005906274,36957,0
62,141074.40651951873,38798,0
63,145966.95972158626,36930,0
64,145959.00344171867,36941,1
65,144137.54612128827,38677,1
66,141041.64166626945,38607,0
67,133138.99066949156,36904,0
68,130051.98837561584,38629,0
69,121380.57270886049,39384,1
70,119133.00629817764,38442,0
71,116348.13225477986,39182,1
72,111423.27177260848,39288,1
73,118666.45924773822,38354,0
74,116357.75057131937,39269,1
75,130045.28615856035,38697,0
76,136562.92170009983,38375,0
77,130985.08285449173,39222,1
78,144075.24274356326,38624,0
79,145710.72852134242,38460,1
80,138450.14343182498,39192,1
81,133469.6761404055,39418,1
82,137001.25466241399,38495,0
83,131118.78150974633,39156,1
84,117720.30109856201,39393,1
85,109252.76581950222,39420,1
86,120961.61238020025,39216,1
87,133305.77886429644,39316,1
88,122384.60170813907,39417,1
89,108131.49670976543,39408,1
90,109355.83208171237,39509,1
91,117804.00256400209,39445,1
