led_num,reflection_score,tri_hit_score,coverage_error=0
0,1511.1692260068121,450,1
1,1520.1739771165821,466,1
2,1520.506948878487,466,1
3,1520.3415271057497,466,1
4,1552.4021289679463,479,1
5,1519.6609099798156,466,1
6,1519.4026593416249,466,1
7,1553.2797737073654,479,1
8,1536.883254783427,467,1
9,1538.0906960442678,467,1
10,1552.7670613407065,479,1
11,1551.5956055530162,479,1
12,1552.1871662817944,479,1
13,1538.8798776660121,467,1
14,1547.5124626405218,474,0
15,1546.1606685354634,474,0
16,1550.3835019072569,474,0
17,1543.7738374635626,474,0
18,1540.2904013023865,467,1
19,1545.966472670229,474,1
20,1539.1325414450498,467,1
21,1549.6304801065837,474,1
22,1543.3887174896277,474,0
23,1552.6564033926181,474,0
24,1542.434857935122,469,0
25,1532.5701174725273,469,0
26,1523.7605941620052,471,0
27,1539.8027237514239,469,0
28,1536.7191304822873,469,0
29,1525.6890844725376,471,0
30,1551.7944697647674,474,0
31,1545.0872774202394,469,1
32,1535.7292312553643,471,0
33,1545.1158792726715,474,1
34,1542.9038105568513,469,1
35,1543.6746905165908,471,0
36,1526.324822208976,469,0
37,1538.3905423716049,469,0
38,1541.1160234481833,471,0
39,1546.830955052216,471,0
40,1524.7000952816841,471,0
41,1522.8925730513056,469,0
42,1533.8583650534001,471,0
43,1538.0949082624743,471,0
44,1526.3248222089758,469,0
45,1527.7691755376698,469,0
46,1546.8309550522154,471,0
47,1542.4348579351176,469,0
48,1522.8925730513045,469,0
49,1533.8583650533988,471,0
50,1539.8027237514207,469,0
51,1538.0949082624713,471,0
52,1525.689084472531,471,0
53,1527.7691755376675,469,0
54,1551.7944697647654,474,0
55,1535.7292312553609,471,0
56,1545.9664726702256,474,0
57,1545.1158792726674,474,0
58,1543.6746905165835,471,0
59,1549.6304801065824,474,0
60,1525.6890844725317,471,0
61,1541.1160234481811,471,0
62,1552.6564033926131,474,0
63,1524.7000952816782,471,0
64,1523.7605941619952,471,1
65,1546.1606685354629,474,1
66,1550.3835019072492,474,1
67,1525.6890844725315,471,0
68,1543.7738374635562,474,0
69,1552.7670613407117,479,1
70,1545.0872774202369,469,0
71,1540.2904013023865,467,1
72,1551.5956055530198,479,1
73,1542.9038105568432,469,0
74,1539.13254144505,467,1
75,1543.3887174896192,474,0
76,1538.3905423716019,469,0
77,1538.8798776660105,467,1
78,1547.5124626405141,474,1
79,1532.5701174725218,469,1
80,1536.883254783429,467,1
81,1552.4021289679492,479,1
82,1536.7191304822823,469,0
83,1538.0906960442642,467,1
84,1520.1739771165912,466,1
85,1519.6609099798293,466,1
86,1552.1871662818016,479,1
87,1553.2797737073731,479,1
88,1520.5069488784993,466,1
89,1514.2776325027351,450,1
90,1519.4026593416409,466,1
91,1520.3415271057629,466,1
