led_num,reflection_score,tri_hit_score,coverage_error=0
0,682.82401773566585,450,1
1,682.21771119408936,466,1
2,682.21774833864413,466,1
3,682.21771119408982,466,1
4,681.26653701368241,479,1
5,682.21770762002052,466,1
6,682.21770762001984,466,1
7,681.26653701368434,479,1
8,681.6671964213798,467,1
9,681.66724739151709,467,1
10,681.26655369604191,479,1
11,681.26655973495258,479,1
12,681.26655369604009,479,1
13,681.66724739151323,467,1
14,681.90425150823546,474,1
15,681.90425150823353,474,0
16,681.90425814644925,474,1
17,681.90429874581844,474,0
18,681.66717729368895,467,1
19,681.90429674593645,474,0
20,681.667177293691,467,1
21,681.90432614077088,474,0
22,681.90429874581787,474,1
23,681.90425814644982,474,0
24,681.58536292677422,469,0
25,681.91421921304629,469,0
26,681.60067129178788,471,0
27,681.58536292676899,469,0
28,681.91426936588823,469,0
29,681.60077168582654,471,0
30,681.90432614077019,474,1
31,681.91426681910934,469,0
32,681.60076264783584,471,0
33,681.90429674593236,474,1
34,681.91426681911298,469,0
35,681.60073707444894,471,0
36,681.58533448562002,469,0
37,681.91426936588687,469,0
38,681.60070846219446,471,0
39,681.60073707444803,471,0
40,681.60067129178492,471,0
41,681.58535426776621,469,0
42,681.60076264783868,471,0
43,681.6007084621973,471,0
44,681.58533448561957,469,0
45,681.58533448561923,469,0
46,681.60073707444644,471,0
47,681.5853629267707,469,0
48,681.58535426776484,469,0
49,681.6007626478364,471,0
50,681.58536292677047,469,0
51,681.60070846219412,471,0
52,681.60077168582211,471,0
53,681.5853344856215,469,0
54,681.90432614076781,474,1
55,681.60076264783572,471,0
56,681.9042967459369,474,0
57,681.90429674593452,474,1
58,681.60073707444838,471,0
59,681.90432614077076,474,0
60,681.6007716858204,471,0
61,681.60070846219469,471,0
62,681.90425814645016,474,0
63,681.60067129178196,471,0
64,681.60067129178321,471,0
65,681.90425150823239,474,0
66,681.90425814644368,474,1
67,681.60077168582291,471,0
68,681.90429874581775,474,0
69,681.26655369604487,479,1
70,681.91426681910923,469,0
71,681.66717729368918,467,1
72,681.26655973495474,479,1
73,681.91426681910934,469,0
74,681.6671772936869,467,1
75,681.904298745814,474,1
76,681.91426936588459,469,0
77,681.66724739151789,467,1
78,681.90425150822853,474,1
79,681.91421921304698,469,0
80,681.66719642138059,467,1
81,681.26653701368343,479,1
82,681.91426936588778,469,0
83,681.66724739151698,467,1
84,682.21771119409641,466,1
85,682.21770762002859,466,1
86,681.26655369604373,479,1
87,681.26653701368377,479,1
88,682.21774833865209,466,1
89,684.8927388901742,450,1
90,682.21770762003052,466,1
91,682.21771119409811,466,1
